"geo_id","geo_type","hu","pc_own","tot_pop","pc_un5","pc_un18","pc_ov64","pc_wht","pc_afrm","pc_asn","pc_othm","pc_hisp","hh","fam","pc_fmwc","pc_fhwc","acres","du_cty","du_cmps","prd_viol","foreclsr","asst_unts","avg_huval","sqft_val","avg_n_hval","sqft_n_val","avg_c_hval","sqft_c_val","yrblt_mdn","mdn_rent","qol_cfs","ofns_pers","ofns_prop","ofns_scty","crash","prmry_ems","prmry_fire","pc_nvterm","pc_nappr","pc_nprf35","pc_nhsg","pc_nclgg","pc_hmbl","pc_frlu","pc_lep_hh","cc_prvdrs","cc_cpcty","cc_enrlmt","medhhinc","pc_fmpv","pc_unem","gds_svcs","pc_n_trst","trst_trps","pc_no_vhcl","pc_alt_trn","avg_stcnd"
"550250024012","Census block group","424","89.2","1014","6.4","21.8","14.8","66.6","14","6.1","5.6","7.7","416","268","25.2","3.8","137.8","425","0","10","-5","0","311761","208.55","307007","215.89","212478","196.76","-5","1818","25","10","21","33","5","207","130","-1","-1","76.2","10","81","7.1","76.2","0","3","104","49","78375","0","2.5","None","83.8","643","4.6","5.8","7.4"
"550250024013","Census block group","596","86.4","1264","4","13.4","34.8","80.9","3.7","3.6","4.4","7.4","572","349","17.5","3.1","164.3","626","0","2","-5","0","310329","215.82","300204","215.25","343113","183.67","-5","1141","21","12","11","18","5","177","97","-1","-1","48.1","3.7","62.2","0","57.3","0","0","0","0","88194","8.5",".7","None","28.8","192","5.5","8.4","7.8"
"550250024021","Census block group","1099","38.7","2280","8.2","24.8","12.3","53.4","16","14.4","6.7","9.5","1011","491","25.8","9.6","321.5","1188","0","25","-5","301","310010","213.35","284550","220.42","123914","138.21","-5","922","98","31","63","158","47","465","254","11.8","35.3","81","17","84","18","83.9","3.2","5","273","0","79781","2.1",".8","P,B,G","10.9","1429","10.6","11.4","7.7"
"550250024022","Census block group","688","64.1","1473","6.6","22","15.1","59.9","20.3","2.9","5.8","11.1","658","356","24.3","7.9","227.2","702","0","6","-5","139","331521","185.8","333876","179.3","177053","189.12","-5","1252","60","15","36","80","35","278","217","17.6","23.5","67.3","13.8","74.1","11.7","73.4","6","4","143","0","93494","7.4","1.6","P,B,G","15.8","1429","7.7","25.9","6.5"
"550250025001","Census block group","615","47","1625","8.4","28.1","11.7","42.5","21.6","6.8","6.3","22.8","558","298","32.8","16.3","1760.4","617","0","30","-5","162","243036","235.59","246563","214.76","-5","-5","-5","871","148","56","85","197","82","435","263","10.1","29","90","15.2","91.8","15.1","86","11.3","6","470","112","41576","26.8","0","P,B","8.4","2284","13","16.4","7.1"
"550250025002","Census block group","367","36.7","778","7.3","20.1","10.8","53.9","13.6","4.1","9.4","19","360","167","21.4","3.9","581.1","369","0","19","-5","12","314207","205.57","311711","197.91","265718","188.88","-5","1113","49","18","39","72","76","206","114","-1","-1","58.3","28.2","74.6","5.3","59.7","1.7","6","386","93","66184","0","2.1","P,B,G","14.6","1894","3.8","17.8","7.1"
"550250026011","Census block group","518","50","1054","5.4","19.3","11.6","64.1","11.6","2.7","6.4","15.3","516","243","18.2","5.2","203.1","512","0","20","-5","32","282348","219.69","273923","226.54","116289","104.6","-5","1210","51","7","30","44","36","172","122","13.6","22","66.7","14.2","78.3","16.5","83.5","2.2","4","195","19","59514","10.9","1","P,B,G","85.4","1047","2.1","15.6","6.5"
"550250026012","Census block group","433","48.6","793","4.9","16","14.8","66.2","15.8","4.9","4.9","8.2","399","162","16.5","5.5","179.8","483","0","9","-5","68","277522","210.64","269412","223.78","179117","184.47","-5","1125","38","12","25","49","37","134","102","-1","-1","62.5","1.7","50","2.2","60.7","0","5","343","60","47240","2.3","1.3","P,B","55.1","1047","5.6","37.3","6.4"
"550250026021","Census block group","653","67.4","1625","6.4","21.6","10.8","58.5","8.4","5.8","5.7","21.7","632","403","28.5","4","763","653","0","7","-5","0","364018","217.96","327379","209.44","197104","180.43","-5","992","75","30","50","119","31","183","129","10.3","20.7","75.8","25.9","79.7","2.6","70.1","0","8","191","95","106129","0","0","P,B,G","34.2","1309","2.8","13.1","7.5"
"550250026022","Census block group","949","59.1","2047","4.8","19.3","16.2","57.6","10.6","5.9","7.9","18","938","463","18.3","3.4","239.2","949","0","12","-5","18","351924","192.43","337215","193.99","131415","148.67","-5","996","170","40","84","188","61","430","258","-1","-1","63.9","16.5","59.8","5.2","61.1","0","7","129","42","84904","4.6","5.1","P,B,G","1.3","1625","19.4","33.3","7.5"
"550250026023","Census block group","318","46.4","684","5.7","19.4","14.9","58.9","13.3","4.4","2.8","20.6","293","164","20.8","3.4","76","315","0","2","-5","0","342295","195.08","331520","171.62","234763","179.02","-5","-5","19","7","9","21","5","48","28","-1","-1","80","16.4","69.8","0","68.6","0","3","76","13","95625",".7","2.4","None","2.9","262","5.6","0","6.9"
"550250029002","Census block group","434","67.2","959","4.5","15.8","15.9","73.5","4.9","5.5","4.4","11.7","424","237","20.5","4.2","120.5","436","0","5","-5","0","316139","205.29","322926","203.97","239400","186.16","-5","1539","8","4","14","22","14","86","43","-1","-1","38.5","14.6","68.8","7.3","63.3","0","3","96","22","73438","7.7","4.6","P,B,G","15.4","704","7.8","21.3","5.7"
"550250029003","Census block group","221","92.1","497","7","18.5","17.3","82.1","4.8",".4","3.4","9.3","215","153","30.7","9.3","137.7","217","0","4","-5","0","375178","183.52","401609","176.91","189748","163.42","-5","-5","1","2","4","2","0","36","18","-1","-1","45.5","2","55.1","2.4","54","-5","3","180","64","-5","-5","-5","P,B,G","91.2","120","-5","-5","6.5"
"550250030011","Census block group","402","93.6","996","5.4","19.4","20.8","86.3","2.8","3.7","4.1","3","392","292","24.2","1.3","193.6","401","0","4","-5","0","381364","197.95","386632","190.84","-5","-5","-5","-5","6","4","8","3","5","80","39","-1","-1","57.1","3.7","53.7","3.8","43.1","0","7","93","34","133500","0","2.1","None","55.9","387","0","6.6","6.6"
"550250030012","Census block group","400","95","1033","6.3","18.2","28.2","81.6","3.6","6.1","4.5","4.3","400","310","19.5","1.2","203.6","396","0","1","-5","0","382838","185.15","386798","173.54","-5","-5","-5","-5","20","4","20","21","5","104","49","-1","-1","44.4","0","25.3","0","18.7","0","3","67","13","130270","0","0","B","84.3","520","0","8.1","7.2"
"550250030013","Census block group","472","77.4","1019","4.8","22","17.3","77.9","6.4","4.6","5.9","5.2","455","273","25.7","3.3","143.5","546","0","11","-5","83","357843","202.63","369018","207.98","190909","181.56","-5","1183","42","16","35","47","12","277","112","-1","-1","56","2","56.9","15.6","56.9","0","2","191","0","86000","0","0","P,B","46.2","520","14.4","13.8","6.7"
"550250030014","Census block group","431","56.4","832","4.7","20","18.3","68.3","17.3","1.6","6.5","6.4","411","214","22.6","8.3","269.8","426","0","10","-5","0","319366","232.55","316222","229.01","-5","-5","-5","-5","52","16","34","45","26","310","94","-1","-1","-1","10.2","71.2","12.8","65","0","5","458","60","91250","0","0","P,B","45.1","1424","0","12.2","6.6"
"550250030015","Census block group","377","86.3","895","5.3","19.4","19.7","77.1","6.7","1.7","5.7","8.8","357","255","17.6","3.9","121.4","378","0","2","-5","0","338472","211.48","332436","211.16","-5","-5","-5","1867","10","5","6","19","9","128","45","-1","-1","45","8.6","59.3","7.6","57.1","0","5","99","42","80781","0","0","B","69.3","387","0","12.6","6.2"
"550250030021","Census block group","758","30.4","1902","5.6","22.1","11.3","45.4","20.8","5.2","7.2","21.5","740","404","25.5","9.6","201.9","759","0","17","-5","0","343874","214.8","341891","220.87","257459","176.73","-5","1233","64","40","40","106","16","163","71","7.1","24.3","74.1","14.7","80.1","9","76.3","0","7","72","38","54290","12.1","0","B","57","387","8.5","38.3","7.4"
"550250030022","Census block group","699","21","1455","6.6","21.4","16.1","57.9","19.4","4","5.8","12.9","685","331","26.3","10.5","247.4","707","0","31","-5","96","343831","195.76","360771","184.3","196082","175.68","-5","1317","49","17","25","56","29","253","139","7.1","22.5","91.4","9.3","85.5","6.3","74.2","1","7","284","102","78293","10.7",".6","B","80.6","888","9.2","16.2","7.1"
"550250031001","Census block group","594","71.7","1285","4.7","17.7","26.5","80.5","6.4","2.2","5.1","5.8","569","350","20.4","3.2","191.1","596","0","3","-5","1","361531","207.66","353457","209.45","-5","-5","-5","1286","20","7","25","23","6","233","88","-1","-1","56.7","4.7","51.9","4.2","52.8","0","6","240","18","109444","8.9","0","P,B","57","520",".3","20","7.3"
"550250031002","Census block group","543","75.8","1415","6","23.3","16.1","69.3","8.6","1.6","9.1","11.4","533","364","29.1","6","204.7","543","0","11","-5","0","352058","207.67","343833","213.57","226933","208.2","-5","1694","25","15","15","31","13","165","66","-1","-1","48.6","7","61.4","3.4","54.5","0","4","92","13","81544","9.1","3.2","B","47.1","783","0","17.1","7.8"
"550250031003","Census block group","865","85.5","2188","5.8","20.7","18.2","75.7","7.9","4.3","5.5","6.6","853","655","27.8","3.8","1807.8","864","0","14","-5","2","380154","207.35","347651","204.25","372269","229.86","-5","-5","123","32","64","151","44","504","208","9.1","15.2","44.7","6.4","46.8","3.9","41.9","0","5","144","5","113167","2.8","0","P,B","51.6","570","0","8.9","8"
"550250031004","Census block group","590","84.3","1335","5.6","18.3","23.7","79.9","5","1","5.6","8.5","581","378","22.4","3.1","300.4","590","0","11","-5","0","384040","201.02","332210","212.8","-5","-5","-5","1168","39","4","20","32","31","192","83","-1","-1","46.7","3.3","51.2","6","47.2","0","8","484","54","105990","0","7","P,B","32.9","783","6.9","3.1","7"
"550250032001","Census block group","1242","2.5","2398","10.9","23.9","1.9","31.1","5.3","47.3","6.7","9.6","1082","555","33.4","5.4","539.8","101","1196","0","-5","0","-5","-5","-5","-5","519414","395.44","-5","1175","9","2","8","2","18","77","134","3.2","20.6","31.7","0","5.9","14.7","43.5","13.8","7","622","378","38206","16.7","0","P,B,G","15","4180","34.3","87.3","4.2"
"550250105011","Census block group","580","84.5","1664","10.3","33.7","8.8","80.3","2.6","5.8","6.9","4.4","540","451","51.4","2.8","488.6","612","0","3","-5","0","419929","205.41","475174","211.54","388272","234.6","-5","1798","10","6","17","11","1","50","35","6.7","17.3","-1","-1","-1","-1","-1","0","3","22","9","141161","1.4","1","B","99.7","96",".4","11.9","8.1"
"550250105012","Census block group","551","75.8","1490","8.9","26.4","4.9","61.3","13.8","4.6","8.1","12.2","547","385","38.9","6.7","606.9","577","0","10","-5","0","387710","220.57","357217","213.35","234579","175.39","-5","-5","24","10","19","30","7","76","41","5.7","14.9","57.2","5.4","57.4","4.1","57.1","-5","5","319","51","-5","-5","-5","B","82.7","187","-5","-5","7.7"
"550250109052","Census block group","659","21","1014","2.6","7.3","35","78.9","1.9","8.7","2.9","7.7","643","182","9.4","2.2","498.1","810","0","3","-5","0","506044","205.75","499480","205.75","454777","280.68","-5","-5","54","11","35","48","20","296","140","-1","-1","-1","0","50","-1","64.3","-5","5","349","167","-5","-5","-5","P,B","19.1","476","-5","-5","6.5"
"550250109053","Census block group","830","48.5","1708","9.4","17.7","4.3","74.1","1.9","15.6","3.8","4.6","807","402","21.8",".5","448.6","1470","0","8","-5","0","552011","233.73","503619","239.85","-5","-5","-5","1885","11","4","6","14","10","67","45","12","13","30.4","0","12","4.5","10.4","5.9","3","424","196","156498","0","2.5","B","100","0","0","12.4","8.5"
"550250109054","Census block group","494","38.1","940","6.4","14","3.9","79","2.1","11.4","3.5","3.9","473","210","16.3","3.2","738","1165","0","22","-5","0","432550","235.15","438286","233.49","337263","226.42","-5","1611","9","1","10","7","49","79","59","8.2","11.2","-1","0","5.7","4.2","13.5","0","5","326","164","93088","0","0","P,B,G","100","2073","0","20.8","8.2"
"550250109061","Census block group","690","59.9","1746","9.3","31.4","12.4","62.9","1.3","27.6","5.7","2.5","671","466","48","3.4","917.4","1115","0","9","-5","0","752940","260.79","657981","244.03","466185","279.67","-5","1982","9","4","13","6","37","168","116","3.6","9","-1","-1","-1","-1","-1","10.9","3","424","196","148539","0","0","B","100","0","13.5","6.6","7.8"
"550250109062","Census block group","1199","57.4","2981","5.6","27.3","9","67.2","1.9","23.1","4.2","3.6","1168","733","36.5","2.5","418.4","1212","0","0","-5","0","903012","215.57","955177","222.88","431568","254.94","-5","1435","10","0","11","4","7","51","54","7.6","7.6","-1","-1","-1","-1","-1","1.2","1","85","0","128750","5.4","1.6","None","100","0","0","2.1","7.4"
"550250110001","Census block group","84","62.1","150","5.4","12.8","31.3","84.6",".7","5.4","5.3","4","84","49","13.2","2.4","54.8","138","0","0","-5","0","482704","213.06","476329","231.87","-5","-5","-5","-5","1","0","2","0","8","17","7","-1","-1","-1","-1","-1","-1","-1","-5","1","85","81","-5","-5","-5","B","44.9","483","-5","-5","7"
"550250112011","Census block group","913","97.3","1558","1.9","9.6","47.9","89.6","1.7","2.1","3.1","3.5","852","445","7.6","1.1","1303.3","920","0","3","-5","0","539264","190.61","528338","187.91","279783","174.74","-5","947","16","1","12","13","8","167","82","-1","-1","26.7","0","24.2","0","25.9","0","1","50","0","66220","13.6","3.8","B","29.8","623","2.7","16.4","7.9"
