"geo_id","geo_type","hu","pc_own","tot_pop","pc_un5","pc_un18","pc_ov64","pc_wht","pc_afrm","pc_asn","pc_othm","pc_hisp","hh","fam","pc_fmwc","pc_fhwc","acres","du_cty","du_cmps","prd_viol","foreclsr","asst_unts","avg_huval","sqft_val","avg_n_hval","sqft_n_val","avg_c_hval","sqft_c_val","yrblt_mdn","mdn_rent","qol_cfs","ofns_pers","ofns_prop","ofns_scty","crash","prmry_ems","prmry_fire","pc_nvterm","pc_nappr","pc_nprf35","pc_nhsg","pc_nclgg","pc_hmbl","pc_frlu","pc_lep_hh","cc_prvdrs","cc_cpcty","cc_enrlmt","medhhinc","pc_fmpv","pc_unem","gds_svcs","pc_n_trst","trst_trps","pc_no_vhcl","pc_alt_trn","avg_stcnd"
"55025001706","Census tract","1792","13.5","2786","2.4","4.8","8.2","75.6","4.7","5.9","6.4","7.3","1715","298","3.4","1.5","126.5","2387","0","16","-5","175","501108","271.46","457111","235.4","690284","386.04","-5","1269","190","46","160","242","85","1154","727","-1","-1","-1","7.7","53.8","-1","86.7","3.4","1","150","121","58136","18.9","2.3","P,B,G","0","4732","27.7","57.9","6.9"
"55025001707","Census tract","1066","5.3","1680","1.4","3","2.2","75.1","3.2","8.3","5.5","7.9","1010","108","3",".9","45.1","1173","0","11","-5","143","422291","228.84","370444","242.55","300936","291.28","-5","1437","107","23","83","204","32","785","416","-1","-1","-1","-1","-1","-1","-1","2.8","1","150","121","66290","0","4.3","P,B,G","0","2731","26.7","62","7.7"
"55025001802","Census tract","2108","23.5","3694","2.9","7.3","8.9","80.1","4.4","4.4","5","6","1992","495","7.6","1.4","187.1","2041","0","10","-5","180","641070","330.04","594300","312.02","344173","341.58","-5","1360","143","30","140","177","62","1046","399","13.3","15","30.8","0","26","8.3","29.4","0","3","297","167","69620","6","3.3","P,B,G","0","2741","13.2","39.7","8.4"
"55025001902","Census tract","1671","40.2","2805","2.6","10.3","14.1","84","2.8","3.1","5.5","4.6","1608","572","11.8","2.4","171.6","1822","0","20","-5","37","515127","342.77","435174","311.63","336430","329.36","-5","1585","56","14","57","50","38","463","189","12.3","15.8","6.5","2.6","13.7","2","15","0","5","281","85","96343","0","1.9","B,G","10.4","2644","5.2","39.3","7.2"
"55025002000","Census tract","2942","51.1","5761","4.9","17.3","12.6","77.1","8.1","2.6","5.3","6.9","2839","1327","19.9","4.3","579.6","3306","0","40","-5","284","426677","312.75","342452","285.27","278718","282.42","-5","1444","288","59","181","266","78","811","397","11.2","18","41.8","5.5","40.9","6.3","44.5","2.5","12","584","133","81211","11.6","3.5","P,B,G","17.8","3032","6.1","30.3","6.5"
"55025002100","Census tract","2559","54.5","4727","4.4","14.4","11.7","77.3","5.5","2","7.3","7.9","2470","993","16.6","3.2","764.5","3209","0","65","-5","310","316538","266.15","285285","256.66","264848","169.21","-5","1003","352","77","190","413","153","1189","656","17.6","22.7","44.6","3.3","48.6","9.3","49.3","1.6","10","420","148","62500","6.8","2.2","P,B,G","18.5","2790","7.3","22.6","7.5"
"55025002200","Census tract","2289","51.9","4312","5.6","17.4","17.6","65.6","16.6","3.3","6.9","7.7","2173","944","17.9","6","458.1","2386","0","37","-5","264","301567","214.88","274371","219.39","195380","164.32","-5","1121","264","88","179","391","73","721","420","9.4","22.8","57.1","7.4","68.8","11.1","73.1","0","6","344","114","57558","12.5","4.6","P,B,G","15.8","1429","13.8","27","7.3"
"55025002301","Census tract","1273","54.7","3188","7.1","28.4","14.3","47.6","26.2","7.6","7.3","11.3","1216","783","32.8","13.5","605.9","1264","0","19","-5","369","415202","228.15","429362","250.21","173017","189.23","-5","1292","228","72","89","242","56","576","403","14.6","19.5","77.6","11.2","79.9","11","84.9","1.6","9","263","56","80956","13.3","6.9","P,B,G","17.9","1646","18.7","23.1","7.4"
"55025002302","Census tract","439","70.7","1468","4.5","14.6","15.9","70.8","15.4","4.8","4.7","4.4","416","285","24.3","4.6","639.6","443","0","5","-5","17","448873","210.38","471785","217.17","189227","143.9","-5","1185","73","32","25","79","8","301","153","-1","-1","50","0","38.5","9.7","35","0","5","172","49","104750","0","1.4","B","16.3","643","1.7","15.3","6.7"
"55025002401","Census tract","1484","89.3","3387","4.9","17.5","23.1","76.4","7.6","3.7","5.8","6.5","1443","921","21.5","3","455","1515","0","27","-5","0","313683","210.79","303694","213.8","322212","184.97","-5","1658","54","27","42","68","11","435","253","8.7","11.7","58","5.3","63.8","4.6","60.3","0","3","104","49","88603","3.9","1","None","52.1","835","4.9","6.6","7.5"
"55025002402","Census tract","1786","48.7","3753","7.6","23.7","13.4","56","17.7","9.9","6.3","10.1","1669","847","25.2","8.9","548.7","1890","0","31","-5","440","319315","200.03","305900","198.87","173178","185.56","-5","972","158","46","99","238","74","698","439","14.3","30.3","75.8","15.9","80.5","15.6","80.4","4.4","5","273","0","83818","4.6","1.2","P,B,G","12.7","1429","9.4","17.2","7.2"
"55025002500","Census tract","982","42.9","2403","8.1","25.5","11.4","46.2","19","5.9","7.3","21.6","918","465","28.3","11.4","2341.5","986","0","49","-5","174","297600","210.69","281053","204.54","265718","188.88","-5","992","197","74","124","269","130","552","339","13.3","26.7","85.9","17.3","89.1","13.9","81.7","7.4","8","548","112","49139","21.6","1.2","P,B,G","10.8","2284","9.3","17.1","7.3"
"55025002601","Census tract","951","49.4","1847","5.2","17.9","12.9","65","13.4","3.6","5.7","12.2","915","405","17.5","5.4","382.9","995","0","29","-5","100","280258","215.71","272000","225.36","127376","117.19","-5","1173","89","19","55","93","55","279","204","15.7","27.7","65.1","9.6","68.1","11.5","75.3","1.3","6","375","79","52471","6.9","1.1","P,B,G","70.7","1047","3.5","24.7","6.4"
"55025002602","Census tract","2862","42","6013","5.9","19.8","12","57.3","11.3","6.1","6.7","18.6","2730","1361","21.2","4.3","1283.2","2932","0","27","-5","18","356286","204.26","333436","195.8","138855","152.59","-5","1217","389","140","222","570","89","825","472","9.1","18.8","73","18.9","72","3.9","65.8","0","10","219","115","80938","5.1","1.9","P,B,G","14.9","1810","9.7","17.5","7.3"
"55025002603","Census tract","2296","43","5336","5.9","20.9","9.8","55.4","14.5","10.1","5.6","14.4","2215","1192","24.5","4.6","1526.1","3025","0","64","-5","104","379438","193.7","356860","193.39","212664","169.8","-5","1178","672","139","881","971","134","1598","797","8.7","15.5","71.4","11","74.9","8.6","67","1.5","8","233","118","72153","2.1",".3","P,B,G","46.8","1625","19.8","18.9","7.4"
"55025002700","Census tract","1796","72.8","3426","4.6","14.7","18.3","83.9","3.5","1.5","5.2","6","1738","821","16.9","4","775.5","2030","0","29","-5","155","334149","266.97","314264","267.23","495506","342.04","-5","1488","133","45","251","219","54","407","277","7.6","13.9","39.7","1.8","41.2","3","38.2",".5","10","689","140","71250","6",".9","P,B","13.1","2025","11.1","22","6.8"
"55025002800","Census tract","1058","82.9","2195","4.1","14.1","20","84.7","2.2","1.3","4.7","7.1","1015","579","18.1","1.9","417.7","1145","0","22","-5","0","338566","228.46","303630","236.12","-5","-5","-5","1082","60","16","37","75","36","212","148","6.7","36","50",".7","35.5","6.6","39.9","0","9","491","116","90313","1.7","7.1","P,B,G","3.7","1637","2","15.9","5.6"
"55025002900","Census tract","1066","71.6","2458","4.7","18.5","17","71.4","6.7","4.3","5.3","12.3","1044","632","24.2","6.1","568.5","1073","0","20","-5","8","339484","202.85","348055","196.71","191460","164.28","-5","-5","62","21","67","107","28","228","131","12","30.7","48.9","9","64.9","7.2","58.8","-5","6","198","77","-5","-5","-5","P,B,G","26.1","824","-5","-5","6.2"
"55025003001","Census tract","2082","81.3","4775","5.3","19.8","21","78.6","7","3.7","5.3","5.4","2015","1344","22.1","3.6","931.8","2147","0","28","-5","83","359540","201.7","363004","193.95","190909","181.56","-5","1234","130","45","103","135","52","773","289","9.1","12.8","54","4.4","53","7.4","47.7","0","15","575","116","100449","0",".4","P,B","58.9","1424","3.8","11","6.8"
"55025003002","Census tract","1457","25.9","3357","6","21.8","13.3","50.8","20.2","4.7","6.6","17.7","1425","735","25.9","10","449.3","1466","0","48","-5","96","343857","206.77","347637","207.84","226770","176.27","-5","1297","113","57","65","162","39","378","195","7.1","23.4","80.9","12.6","82.2","8","75.5",".6","10","308","115","63802","11.3",".3","B","68.4","888","8.9","25.2","7.3"
"55025003100","Census tract","2592","80.1","6222","5.6","20.2","20.6","76.1","7.1","2.6","6.3","7.9","2536","1747","25.2","3.9","2504","2593","0","39","-5","3","371735","205.79","344759","209.16","349321","227.43","-5","1426","207","58","124","237","67","951","394","9.1","16.6","48.6","5.6","52.7","4.2","48.5","0","11","560","61","97542","4.6","2.5","P,B","47.7","1090","1.8","11.4","7.7"
"55025003200","Census tract","1242","2.5","2398","10.9","23.9","1.9","31.1","5.3","47.3","6.7","9.6","1082","555","33.4","5.4","539.8","101","1196","0","-5","0","-5","-5","-5","-5","519414","395.44","-5","1175","9","2","8","2","18","77","134","3.2","20.6","31.7","0","5.9","14.7","43.5","13.8","7","622","378","38206","16.7","0","P,B,G","15","4180","34.3","87.3","4.2"
"55025010501","Census tract","1132","80.1","3154","9.7","30.2","7","71.3","7.9","5.2","7.5","8.1","1087","836","45.1","4.8","1095.5","1189","0","13","-5","0","392625","217.95","464901","211.66","352410","222.91","-5","1821","34","16","36","41","7","122","73","6.1","16","58.8","5.2","56.9","4","56.8","1","6","325","55","118910","1.7","1.2","B","91.4","187","1.4","12.5","7.9"
"55025010702","Census tract","1248","86.2","3207","7.8","22.8","11.1","72","4.4","12","6.1","5.5","1192","816","34.8","2.8","390","1378","0","19","-5","0","404445","213.21","385715","215.17","310474","202.11","-5","-5","25","5","37","7","17","194","92","6.4","9.7","38.5","2.4","24","1.4","22","-5","12","322","238","-5","-5","-5","P,B,G","61","978","-5","-5","7.4"
"55025010903","Census tract","1995","63","4347","6","19","13.3","76.6","1.6","14.5","3.7","3.5","1934","1159","25.1","1.2","1634.7","2069","0","9","-5","0","708778","218.32","630653","205.92","541056","295.6","-5","1444","10","3","14","13","26","113","64","7.8","10.6","32.9","2.2","10.4","1","14","4","2","58","9","126298",".1",".9","B","64.7","105",".9","8.4","7.8"
"55025010905","Census tract","2736","35","4865","5.9","12.5","15.2","75.8","2.1","13.6","3.3","5.2","2636","1051","14.6","1.5","2036.1","4202","0","36","-5","0","477721","213.14","480531","237.35","320035","236.09","-5","1683","100","24","122","108","92","552","280","10.4","13","32.1","2.6","20.1","3.7","23","3.3","11","839","380","112361","0","1","P,B,G","75.2","2073","4.8","19.6","7.8"
"55025010906","Census tract","1890","58.3","4727","7","28.8","10.3","65.6","1.7","24.8","4.8","3.2","1839","1199","40.7","2.8","1335.8","2327","0","9","-5","0","897993","216.62","753232","234.97","444974","264.43","-5","1632","19","4","24","10","39","212","164","5.1","8.5","-1","-1","-1","-1","-1","5.1","4","509","196","142875","3","1","B","100","0","5.4","3.8","7.7"
"55025011201","Census tract","913","97.3","1558","1.9","9.6","47.9","89.6","1.7","2.1","3.1","3.5","852","445","7.6","1.1","1574.1","920","0","3","-5","0","539264","190.61","528338","187.91","279783","174.74","-5","-5","19","1","13","13","12","167","82","-1","-1","26.7","0","24.2","0","25.9","-5","1","50","0","-5","-5","-5","B","29.8","623","-5","-5","7.9"
"55025000100","Census tract","1491","58.1","2751","4.4","13.8","18.4","76.7","4","7.2","5.1","7","1415","667","16.5","3","497.2","1620","0","9","-5","61","617493","293.7","564972","308.59","176877","199.86","-5","1502","45","22","41","39","27","169","125","5.9","14.1","30.3","4.3","35","5.7","39.1","3.8","7","183","141","86375","0","1.8","B,G","39.3","1450","4.2","26.4","5.7"
"55025000201","Census tract","1042","79.5","2179","4.9","16.3","23.8","83.3","2.9","4.4","5","4.4","1005","639","19.1","2.2","454.6","1142","0","15","-5","6","459485","244.46","411800","241.8","169450","220.35","-5","1210","22","12","23","39","20","163","113","9.9","14.4","36","1.1","17.7","4.7","21.3","0","9","355","189","109107","4.4","0","B,G","48.2","1745","5.2","28.8","6.7"
"55025000202","Census tract","1493","60.1","3120","5","16","23.8","77.1","3.6","8","5.4","6","1444","833","19.8","2.4","599.7","1468","0","8","-5","0","597359","200.08","595948","203.14","237854","186.65","-5","1607","79","21","37","41","31","310","186","7.4","13.2","32.7","1.1","18.2","2","20.8","1.4","9","530","232","107258","5.4","1.5","P,B","54.4","2248","3.8","22.7","7.1"
"madison","City of Madison","128493","44.5","274730","5","16.4","13.1","68.8","7.3","9.4","5.4","9","123052","55260","19","3.8","54227.7","139910","7169","1657","-5","7284","451395","237.35","481261","234.05","304916","237.07","-5","1364","12010","2879","8735","15051","2482","26334","15919","9","17.4","51.6","7.6","49.3","7","50.2","2.7","265","12464","5705","76983","6.6","2.7","P,B,G","27.4","8540","12","29.6","7.1"
"55025010801","Census tract","2096","63.1","4615","7.3","21.5","8.9","76.5","3.8","8.3","4.9","6.5","2074","1156","27.7","2.7","680.3","2393","0","17","-5","68","464874","203.95","430290","202.5","303086","210.42","-5","-5","26","4","41","23","21","163","106","7.9","12.9","42.2","1.6","28.1","3.9","26.2","-5","9","369","341","-5","-5","-5","P,B,G","47.6","978","-5","-5","7.6"
"55025011403","Census tract","1346","60.5","2925","6.3","17.6","12.5","76.1","7.5","4.8","5.6","6.1","1324","747","22.3","2.9","797.7","1579","0","11","-5","225","416545","205.59","387334","208.17","301192","202.78","-5","1675","77","30","70","117","11","249","141","6.3","16","67.4","1.7","54.3","5","50.8","2.5","5","99","66","109724","0",".2","B","29.6","907","2.3","7.3","7.9"
"55025011405","Census tract","2340","33.6","4141","4.8","14.3","16.9","66.7","5.8","16.2","4.8","6.5","2131","828","15.8","2.7","3625.4","3495","0","20","-5","57","412529","224.49","394398","241.26","249317","188.93","-5","1705","197","29","101","164","96","846","348","8.8","16.7","-1","0","81.8","25","69.3","2.1","5","406","335","86137","1.7","1.5","P,B","92.7","862","7.3","12.1","7.7"
"55025011406","Census tract","2203","55","4851","5.9","19.3","17.6","72.1","10.3","5.7","5.2","6.7","2140","1123","22.5","5.2","764.9","2833","0","17","-5","94","429939","211.77","403087","216.59","308442","218.24","-5","1498","105","38","100","84","15","669","228","8.2","13","60.9","2.6","47.7","11.9","49.7","0","9","125","86","103119","2.1","2.9","P,B,G","53.5","907","2.4","11.9","7.4"
"55025011407","Census tract","885","66.5","1571","2.4","11.4","26.1","79","6","2.9","5.9","6.2","845","376","13","1.9","3668.1","856","0","10","-5","65","533108","184.97","459359","198.62","246273","193.84","-5","892","68","27","60","57","23","252","154","-1","-1","44.8","1.3","40.7","4","46.7","0","3","24","13","57473","5.3",".8","P,B,G","26.6","977","2.1","11.3","7.4"
